bank_name,quarter,anom_score,systemic_score,adjusted_score,is_anomaly,known_event,known_event_label
Wells Fargo Bank,12/31/2010,0.546491755599695,0.4624833971940681,0.08400835840562687,1,False,
Morgan Stanley Bank,12/31/2023,0.6232965193731914,0.5406190717954277,0.08267744757776374,1,False,
Morgan Stanley Bank,12/31/2024,0.6430221367588215,0.5697075746078075,0.07331456215101395,1,False,
Wells Fargo Bank,09/30/2010,0.5218406797406342,0.4529337370548454,0.06890694268578879,1,False,
Wells Fargo Bank,03/31/2010,0.521817815605667,0.458131257668021,0.063686557937646,1,False,
Goldman Sachs Bank USA,12/31/2024,0.6290373861223013,0.5697075746078075,0.05932981151449379,1,False,
Morgan Stanley Bank,09/30/2024,0.5760151696908516,0.5170274382224124,0.058987731468439275,1,False,
Morgan Stanley Bank,09/30/2025,0.634126057772131,0.5776609149746578,0.05646514279747328,1,False,
Goldman Sachs Bank USA,12/31/2023,0.5935492354177998,0.5406190717954277,0.05293016362237213,1,False,
Morgan Stanley Bank,06/30/2025,0.5802774681646763,0.5317015309372604,0.04857593722741593,1,False,
Citibank,09/30/2009,0.5100949047709799,0.46846220005385425,0.0416327047171256,1,False,
Citibank,03/31/2001,0.5197420377795159,0.4821972975597834,0.037544740219732475,1,False,
Citibank,12/31/2008,0.5513292751599388,0.5165914725222495,0.03473780263768933,1,False,
Goldman Sachs Bank USA,09/30/2025,0.6091911550082035,0.5776609149746578,0.031530240033545764,1,False,
Goldman Sachs Bank USA,06/30/2025,0.5624941381552536,0.5317015309372604,0.030792607217993262,1,False,
Citibank,12/31/2009,0.5147560508726033,0.4893937957556262,0.02536225511697715,1,False,
Bank of America,12/31/2009,0.509281804090558,0.4893937957556262,0.019888008334931817,1,False,
JPMorgan Chase Bank,12/31/2008,0.5337489694577285,0.5165914725222495,0.017157496935479077,1,False,
JPMorgan Chase Bank,06/30/2025,0.5469820414278938,0.5317015309372604,0.015280510490633392,1,False,
Bank of America,12/31/2008,0.5311334594922094,0.5165914725222495,0.014541986969959897,1,False,
JPMorgan Chase Bank,09/30/2025,0.5786068323332312,0.5776609149746578,0.0009459173585734115,1,False,
JPMorgan Chase Bank,12/31/2024,0.5579620991890075,0.5697075746078075,-0.0117454754188,1,False,
JPMorgan Chase Bank,12/31/2023,0.5276421904235031,0.5406190717954277,-0.012976881371924542,1,False,
Wells Fargo Bank,12/31/2024,0.5477073874252277,0.5697075746078075,-0.02200018718257979,1,False,
Wells Fargo Bank,09/30/2025,0.5536988623127204,0.5776609149746578,-0.023962052661937405,1,False,
Bank of America,09/30/2025,0.5465847258200491,0.5776609149746578,-0.031076189154608636,1,False,
Citibank,09/30/2025,0.5437578566016111,0.5776609149746578,-0.033903058373046635,1,False,
Bank of America,12/31/2023,0.505499252878457,0.5406190717954277,-0.03511981891697069,1,False,
Bank of America,12/31/2024,0.5345690273360565,0.5697075746078075,-0.03513854727175103,1,False,
