quarter,RIAD4652,RCONB550,RIAD4460,RCON3485,RCONB563,RIAD4020,RCON5370,RIAD8757,RIAD4646,RCON2210,RCON6636,RIAD4415,RIAD4093,RIAD4300,RCON2107,RIAD4074,RCON0090,RIAD4010,RIAD3217,RIADB508,RCON9999,RCON2200,RIAD4313,RIADB497,RIAD4092,RIAD4107,RCON2385,RIAD4135,RCONB562,RIAD4185,RIAD4635,RIAD8759,RIADA220,RCON1545,RCON3360,RIAD4060,RCON1763,RIADB489,RCON5510,RIAD4301,RIAD4507,RCON3387,RCONB549,RIAD4079,RCON0010,RIADB485,RIADB515,RIAD4340,RCONA564,RIAD4302,RIAD4115,RCON6631,RIAD4150,RIADB522,RIAD0093,RIAD5416,RCON2122,RIADB511,RIAD3210,RIAD4073,RCON6810,RCON2215,RCONA565,RIAD8758,RCON1797,RIAD4012,RIADB488,RCON1460,RCON5367,RCON5597,RIAD4200,RIAD4230,RCON6648,RCON1764,RIAD4508,RIAD4080,RIAD4180,RIAD4217,RIAD3123,RCON2365,RCON6835,RIADB486,RCONA569,RIAD3196,RIAD4605,RIAD4644,RIAD4518,nn_score,lof_score,ensemble_score,nn_anomaly,lof_anomaly,is_anomaly,is_anomaly_adaptive,reconstruction_error,anomaly_score
03/31/2001,0.0,463156.0,0.0,55941.0,527123.0,140.0,0.0,0.0,0.0,794.0,532040.0,-135000.0,2801.0,4182.0,0.0,3434.0,6.0,915.0,201987.0,201987.0,20010331.0,532834.0,0.0,17.0,2626.0,11094.0,463156.0,155.0,453.0,1.0,1044.0,0.0,0.0,0.0,35897.0,10039.0,520.0,0.0,0.0,6774.0,2.0,521.0,69678.0,7149.0,3759.0,809.0,38.0,4182.0,0.0,2592.0,0.0,794.0,10.0,2398.0,6884.0,0.0,34312.0,0.0,71169.0,7660.0,455322.0,69678.0,323.0,0.0,753.0,9.0,0.0,0.0,4029.0,0.0,0.0,1008.0,5947.0,0.0,682.0,4.0,0.0,20.0,2400.0,522737.0,1915.0,9.0,2583.0,0.0,38.0,0.0,0.0,0.028597133062090975,0.3659450188768206,0.16353628738798281,False,False,False,False,1011977292.8177233,0.16353628738798281
06/30/2001,0.0,425680.0,0.0,51760.0,468034.0,159.0,0.0,0.0,0.0,799.0,500037.0,-135000.0,3190.0,3616.0,0.0,4543.0,804.0,1063.0,201987.0,201987.0,20010630.0,500836.0,0.0,66.0,2876.0,17522.0,425680.0,277.0,388.0,1.0,1046.0,0.0,0.0,0.0,5544.0,16300.0,689.0,0.0,0.0,5857.0,4.0,607.0,75156.0,5496.0,1096.0,854.0,56.0,3616.0,0.0,2241.0,0.0,799.0,7.0,2398.0,11619.0,-1702.0,5605.0,0.0,70603.0,12979.0,419432.0,75156.0,321.0,0.0,733.0,19.0,0.0,0.0,3793.0,0.0,0.0,992.0,4497.0,0.0,1186.0,6.0,1.0,37.0,87.0,490730.0,1859.0,18.0,2325.0,0.0,56.0,0.0,0.0,0.02859660175586434,0.37002043966648107,0.16516613692011103,False,False,False,False,1011959221.0033219,0.16516613692011103
09/30/2001,0.0,525840.0,0.0,44333.0,451596.0,512.0,0.0,0.0,0.0,458.0,583900.0,1265000.0,3698.0,17901.0,0.0,25243.0,964.0,14170.0,201987.0,201987.0,20010930.0,584358.0,0.0,104.0,3113.0,50178.0,525840.0,448.0,382.0,225.0,1046.0,0.0,4818.0,0.0,881826.0,25557.0,729134.0,0.0,0.0,28993.0,4.0,792239.0,58518.0,8428.0,1515.0,856.0,68.0,17901.0,0.0,11092.0,0.0,458.0,11.0,2398.0,15216.0,-3810.0,916988.0,0.0,1484888.0,24935.0,453144.0,58518.0,0.0,0.0,0.0,13038.0,0.0,0.0,158.0,182465.0,7265.0,980.0,0.0,2464.0,1551.0,9.0,1.0,137.0,25.0,583650.0,0.0,26.0,0.0,0.0,68.0,0.0,0.0,0.028547108309871748,0.607332824513698,0.2600613947914023,False,False,False,False,1010275754.246814,0.2600613947914023
12/31/2001,0.0,1786829.0,135000.0,63199.0,534422.0,875.0,0.0,0.0,0.0,318.0,2044643.0,1400000.0,5253.0,26856.0,0.0,40729.0,1658.0,23782.0,201987.0,201987.0,20011231.0,2044961.0,0.0,1313.0,4279.0,74823.0,1786829.0,699.0,0.0,324.0,1059.0,0.0,9316.0,0.0,759651.0,33966.0,576987.0,0.0,0.0,45732.0,8.0,566834.0,258132.0,11245.0,2097.0,856.0,71.0,26856.0,0.0,18876.0,0.0,318.0,12.0,2398.0,17677.0,-6700.0,842098.0,0.0,1493843.0,34094.0,1664742.0,258132.0,0.0,0.0,0.0,22644.0,0.0,0.0,143.0,803660.0,12800.0,989.0,0.0,2463.0,1839.0,9.0,1.0,275.0,24.0,2044393.0,0.0,26.0,143.0,0.0,71.0,0.0,2.0,0.004254882757927695,4.136055856457634,1.6569752722378104,False,False,False,False,184001621.619025,1.6569752722378104
03/31/2002,0.0,581473.0,0.0,59765.0,620760.0,226.0,0.0,0.0,0.0,351.0,654771.0,0.0,4201.0,9627.0,0.0,15768.0,2094.0,16269.0,1493843.0,1493843.0,20020331.0,655122.0,0.0,1214.0,3928.0,22966.0,581473.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,1371800.0,6459.0,455772.0,5.0,0.0,14748.0,2.0,479925.0,73649.0,3619.0,2232.0,0.0,4.0,9627.0,0.0,5121.0,0.0,351.0,10.0,24.0,1874.0,2405.0,1530486.0,0.0,1503470.0,7198.0,460355.0,73649.0,0.0,0.0,0.0,7266.0,0.0,0.0,142.0,206148.0,4498.0,438.0,0.0,7140.0,179.0,0.0,0.0,78.0,466.0,654521.0,0.0,0.0,142.0,0.0,4.0,0.0,7.0,0.02852153268802115,0.0006856645929723422,0.017387185450001626,False,False,False,False,1009405826.7584562,0.017387185450001626
06/30/2002,0.0,556773.0,0.0,47178.0,470966.0,481.0,0.0,0.0,0.0,307.0,624298.0,0.0,12749.0,2706.0,0.0,27010.0,1448.0,31040.0,1493843.0,1493843.0,20020630.0,624605.0,0.0,1956.0,12216.0,43052.0,556773.0,395.0,0.0,16.0,0.0,0.0,0.0,0.0,1605929.0,11445.0,197376.0,14.0,0.0,4512.0,7.0,302218.0,67832.0,-7730.0,2619.0,0.0,6.0,2706.0,0.0,1806.0,2.0,307.0,9.0,24.0,3456.0,-9686.0,1710333.0,0.0,1496549.0,16042.0,432625.0,67832.0,0.0,0.0,0.0,13951.0,0.0,0.0,142.0,186324.0,10931.0,2019.0,0.0,4385.0,345.0,0.0,0.0,138.0,2049.0,624298.0,0.0,0.0,142.0,0.0,6.0,0.0,70.0,0.028521431712028315,0.0018408376316884055,0.01784919407989235,False,False,False,False,1009402392.1678003,0.01784919407989235
09/30/2002,0.0,557580.0,0.0,50288.0,456044.0,772.0,0.0,0.0,0.0,260.0,629162.0,0.0,17568.0,-7649.0,0.0,50789.0,3247.0,57525.0,1493843.0,1493843.0,20020930.0,629422.0,0.0,3481.0,16616.0,74578.0,557580.0,736.0,0.0,38.0,0.0,0.0,0.0,0.0,1701584.0,15890.0,139101.0,272.0,0.0,-12757.0,19.0,197795.0,71842.0,-43637.0,3580.0,0.0,8.0,-7649.0,0.0,-5108.0,5.0,260.0,12.0,24.0,5003.0,-47118.0,1510685.0,9.0,1486203.0,23789.0,429237.0,71842.0,0.0,0.0,0.0,15281.0,0.0,0.0,141.0,181215.0,16307.0,2341.0,0.0,3265.0,515.0,0.0,0.0,216.0,2373.0,629161.0,0.0,0.0,141.0,0.0,8.0,0.0,114.0,0.02852131294982117,0.0051647352560943134,0.019178681872330426,False,False,False,False,1009398352.5980421,0.019178681872330426
12/31/2002,0.0,1748146.0,0.0,61270.0,516281.0,1032.0,0.0,0.0,0.0,198.0,1993961.0,0.0,28483.0,33760.0,0.0,68167.0,1955.0,73165.0,1493843.0,1493843.0,20021231.0,1994159.0,0.0,18239.0,26935.0,96330.0,1748146.0,1207.0,0.0,65.0,0.0,0.0,0.0,0.0,1593761.0,21025.0,250685.0,743.0,0.0,51027.0,31.0,222185.0,246013.0,16699.0,2063.0,0.0,9.0,33760.0,0.0,17267.0,6.0,198.0,13.0,24.0,6478.0,-1540.0,1633821.0,0.0,1527603.0,28163.0,1619689.0,246013.0,0.0,0.0,0.0,20095.0,0.0,0.0,141.0,791902.0,18416.0,5356.0,0.0,11314.0,684.0,0.0,0.0,341.0,5389.0,1993961.0,0.0,0.0,141.0,0.0,9.0,0.0,359.0,0.028521252866479066,0.006858528235227539,0.019856163013978457,False,False,False,False,1009396308.9272687,0.019856163013978457
03/31/2003,0.0,566730.0,0.0,73318.0,614319.0,540.0,0.0,0.0,0.0,176.0,648059.0,0.0,5258.0,24211.0,0.0,8658.0,3712.0,8426.0,1527603.0,1527603.0,20030331.0,648235.0,0.0,19817.0,4785.0,14253.0,566730.0,398.0,0.0,214.0,0.0,0.0,0.0,0.0,1305444.0,4835.0,339845.0,393.0,0.0,40836.0,15.0,289752.0,81505.0,37438.0,30615.0,0.0,9.0,24211.0,0.0,16625.0,1.0,176.0,14.0,5389.0,1177.0,17621.0,1496193.0,0.0,1551814.0,5595.0,438324.0,81505.0,0.0,0.0,0.0,8423.0,0.0,0.0,141.0,185492.0,3577.0,2.0,0.0,14500.0,137.0,0.0,0.0,75.0,5400.0,648059.0,0.0,0.0,141.0,0.0,9.0,0.0,58.0,0.02852130633531655,0.006841682884032531,0.019849456954802943,False,False,False,False,1009398127.612725,0.019849456954802943
06/30/2003,0.0,565523.0,0.0,58386.0,470578.0,937.0,0.0,0.0,0.0,127.0,643910.0,0.0,9998.0,49373.0,0.0,21831.0,2877.0,22928.0,1527603.0,1527603.0,20030630.0,644037.0,0.0,43185.0,9047.0,32459.0,565523.0,800.0,0.0,196.0,0.0,0.0,0.0,0.0,1821029.0,7692.0,341717.0,786.0,0.0,82844.0,34.0,495825.0,78514.0,70987.0,7117.0,0.0,22.0,49373.0,0.0,33471.0,3.0,127.0,14.0,5389.0,2172.0,27802.0,2129846.0,0.0,1576976.0,10628.0,436905.0,78514.0,0.0,0.0,0.0,22924.0,0.0,0.0,0.0,194381.0,7050.0,-24.0,0.0,201747.0,261.0,0.0,0.0,151.0,5387.0,643910.0,0.0,0.0,0.0,0.0,22.0,0.0,113.0,0.028520691613154684,0.02678529752619747,0.0278265339783718,False,False,False,False,1009377218.4942906,0.0278265339783718
