bank_name,quarter,anom_score,systemic_score,adjusted_score,is_anomaly,known_event,known_event_label
Wells Fargo and Company,12/31/2008,0.7346105473703273,0.5201198163880119,0.21449073098231541,1,False,
JPMorgan Chase and Co,09/30/2004,0.6500352855261639,0.4364039263776288,0.21363135914853504,1,False,
Bank of America Corporation,06/30/2004,0.6021850047480048,0.4454651564791892,0.15671984826881563,1,False,
Bank of America Corporation,03/31/2009,0.6007999791128233,0.4868374913990873,0.11396248771373607,1,False,
JPMorgan Chase and Co,09/30/2008,0.5388723334954275,0.42773683175623123,0.11113550173919629,1,False,
Goldman Sachs Group Inc,12/31/2023,0.4600103539660075,0.36545168717058907,0.09455866679541841,1,False,
Goldman Sachs Group Inc,12/31/2022,0.4438972009393738,0.372266098458575,0.07163110248079879,1,False,
Morgan Stanley,06/30/2012,0.4593676741459585,0.39076962461531917,0.06859804953063936,1,False,
Bank of America Corporation,12/31/2007,0.43688290179214295,0.3818630994057311,0.055019802386411854,1,False,
Citigroup Inc,03/31/2010,0.4771299542811706,0.4327079065269481,0.04442204775422248,1,False,
Morgan Stanley,06/30/2009,0.4737277963992782,0.43197714909138085,0.04175064730789735,1,False,
JPMorgan Chase and Co,03/31/2005,0.4410152416098203,0.40535192774829615,0.03566331386152416,1,False,
Morgan Stanley,03/31/2020,0.47205967601841725,0.4506172332442329,0.021442442774184334,1,False,
Bank of America Corporation,03/31/2006,0.4340400084161189,0.41527002157620047,0.01876998683991843,1,False,
Goldman Sachs Group Inc,03/31/2020,0.468282110373155,0.4506172332442329,0.017664877128922063,1,False,
Wells Fargo and Company,06/30/2007,0.4172101264730001,0.4035438750099685,0.013666251463031576,1,False,
Citigroup Inc,06/30/2009,0.44439527230855286,0.43197714909138085,0.012418123217172006,1,False,
Morgan Stanley,03/31/2010,0.44510548747254863,0.4327079065269481,0.012397580945600506,1,False,
Bank of America Corporation,03/31/2010,0.4448792688366587,0.4327079065269481,0.012171362309710554,1,False,
JPMorgan Chase and Co,03/31/2020,0.4621140352053081,0.4506172332442329,0.011496801961075165,1,False,
Wells Fargo and Company,03/31/2022,0.411521267519466,0.40069382181289287,0.010827445706573124,1,False,
Citigroup Inc,03/31/2020,0.45603867439760093,0.4506172332442329,0.005421441153368012,1,False,
Wells Fargo and Company,03/31/2020,0.4452524296079927,0.4506172332442329,-0.005364803636240201,1,False,
Citigroup Inc,12/31/2008,0.5055382994448205,0.5201198163880119,-0.01458151694319132,1,False,
Wells Fargo and Company,03/31/2009,0.465900513103206,0.4868374913990873,-0.02093697829588126,1,False,
JPMorgan Chase and Co,12/31/2008,0.44900147923895073,0.5201198163880119,-0.07111833714906113,1,False,
